% 1. Title: Admit-Reject Database
   
@RELATION marks

   @ATTRIBUTE aggregate	NUMERIC
   @ATTRIBUTE AWA	NUMERIC
   @ATTRIBUTE GRE	NUMERIC
   @ATTRIBUTE TOEFL	NUMERIC
   @ATTRIBUTE class	{admit,reject}

@DATA
78.0,3.0,317.0,108.0,admit
84.0,3.0,304.0,105.0,admit
81.0,3.0,309.0,97.0,admit
72.0,3.0,313.0,97.0,admit
78.0,2.5,307.0,87.0,reject
83.3,3.0,312.0,100.0,admit
73.2,3.0,317.0,102.0,admit
70.7,3.5,321.0,112.0,admit
84.0,3.5,305.0,94.0,admit
84.0,3.5,311.0,92.0,admit
79.9,3.5,321.0,96.0,admit
79.5,3.0,313.0,95.0,admit
88.8,4.0,317.0,109.0,admit
90.9,3.5,308.0,88.0,reject
80.4,3.0,308.0,91.0,admit
81.5,3.0,317.0,110.0,admit
84.2,3.5,311.0,112.0,admit
88.0,3.0,311.0,96.0,admit
84.3,3.5,314.0,105.0,admit
76.5,2.5,306.0,90.0,reject
81.0,3.0,309.0,97.0,admit
80.4,3.5,313.0,100.0,admit
71.3,2.5,310.0,100.0,reject
82.0,3.0,309.0,98.0,admit
77.4,3.0,304.0,90.0,admit
63.5,2.0,299.0,80.0,reject
76.4,3.0,304.0,107.0,admit
84.0,3.5,307.0,87.0,reject
76.9,3.0,306.0,98.0,admit
76.6,2.5,308.0,100.0,reject
83.6,2.5,311.0,92.0,reject
70.4,3.0,309.0,98.0,admit
63.0,2.0,299.0,80.0,reject
84.5,3.0,303.0,86.0,reject
75.5,4.0,314.0,101.0,admit
79.2,2.0,309.0,90.0,reject
88.5,3.5,312.0,96.0,admit
79.8,4.0,313.0,109.0,admit
76.0,3.0,319.0,95.0,admit
68.5,2.5,302.0,88.0,reject
68.5,3.0,302.0,91.0,admit
71.0,4.5,315.0,111.0,admit
84.1,3.0,304.0,105.0,admit
75.7,3.5,303.0,115.0,admit
76.8,3.0,304.0,107.0,admit
60.0,3.0,299.0,95.0,reject
68.0,3.5,312.0,102.0,admit
72.0,3.0,308.0,104.0,admit
70.4,3.0,302.0,114.0,admit
73.8,4.0,316.0,108.0,admit
82.3,3.0,308.0,95.0,admit
77.9,2.5,310.0,95.0,reject
69.1,3.0,315.0,103.0,admit
85.3,3.0,304.0,104.0,admit
