@relation marks

@attribute aggregate numeric
@attribute AWA numeric
@attribute GRE numeric
@attribute TOEFL numeric
@attribute class {admit,reject}

@data
78,3,317,108,admit
84,3,304,105,admit
81,3,309,97,admit
72,3,313,97,admit
78,2.5,307,87,reject
83.3,3,312,100,admit
73.2,3,317,102,admit
70.7,3.5,321,112,admit
84,3.5,305,94,admit
84,3.5,311,92,admit
79.9,3.5,321,96,admit
79.5,3,313,95,admit
88.8,4,317,109,admit
90.9,3.5,308,88,reject
80.4,3,308,91,admit
81.5,3,317,110,admit
84.2,3.5,311,112,admit
88,3,311,96,admit
84.3,3.5,314,105,admit
76.5,2.5,306,90,reject
81,3,309,97,admit
80.4,3.5,313,100,admit
71.3,2.5,310,100,reject
82,3,309,98,admit
77.4,3,304,90,admit
63.5,2,299,80,reject
76.4,3,304,107,admit
84,3.5,307,87,reject
76.9,3,306,98,admit
76.6,2.5,308,100,reject
83.6,2.5,311,92,reject
70.4,3,309,98,admit
63,2,299,80,reject
84.5,3,303,86,reject
75.5,4,314,101,admit
79.2,2,309,90,reject
88.5,3.5,312,96,admit
79.8,4,313,109,admit
76,3,319,95,admit
68.5,2.5,302,88,reject
68.5,3,302,91,admit
71,4.5,315,111,admit
84.1,3,304,105,admit
75.7,3.5,303,115,admit
76.8,3,304,107,admit
60,3,299,95,reject
68,3.5,312,102,admit
72,3,308,104,admit
70.4,3,302,114,admit
73.8,4,316,108,admit
82.3,3,308,95,admit
77.9,2.5,310,95,reject
69.1,3,315,103,admit
85.3,3,304,104,admit
83.7,3.5,316,108,admit
75,3,305,105,admit
81.3,3.5,307,104,admit
76,3,310,88,reject
79,3.5,310,99,admit
81.2,3,314,98,admit
66,3,310,91,admit
88.7,4,304,96,admit
77.2,3,315,105,admit
75.2,3,306,104,admit
70,3,306,104,admit
66.1,3.5,300,107,admit
80,3.5,310,109,admit
79,2.5,312,89,reject
63.5,2,299,80,reject
81.2,2.5,296,91,reject
77.3,3,307,90,admit
75.6,3,310,106,admit
64,3,298,89,reject
84.5,3.5,307,87,reject
83.7,2.5,299,92,reject
71.2,3,298,81,reject
94.1,3.5,306,105,admit
68.5,3,302,90,admit
69,2.5,288,88,reject
89.3,2.5,308,100,reject
72,2.5,310,92,reject
75,2.5,312,89,reject
63,4.5,301,101,reject
71,3,308,104,admit
68,2,298,87,reject
73.3,3,297,86,reject
79.3,3,304,95,admit
76,3.5,309,92,admit
85.6,3,309,90,admit
79,3.5,300,105,admit
72.2,2.5,294,90,reject
77.6,3,306,94,admit
72.4,3,300,91,admit
65.4,3,302,90,admit
61,3,313,106,reject
83,3,310,105,admit
90,2.5,311,106,reject
68.9,2.5,314,105,reject
77.6,3,311,100,admit
76.8,2.5,298,86,reject
77,3.5,313,95,admit
72.4,3,303,104,admit
72.2,2.5,294,89,reject
85.7,3.5,301,101,admit
69,3.5,299,90,reject
78.6,2.5,296,90,reject
77.5,2.5,295,83,reject
75,3,292,90,reject
80.2,3,301,93,admit
87.6,3.5,300,105,admit
70,2.5,303,106,reject
72.4,3,303,89,reject
82.2,3,300,97,admit
75.1,3.5,298,86,reject
72,3,300,98,admit
78,3,302,85,reject
77.2,2,300,90,reject
75.3,3,304,87,reject
82.5,3.5,304,92,admit
88.3,3,304,92,admit
73,3.5,306,108,admit
85.1,3,301,106,admit
71,3.5,298,87,reject
71.4,3,311,91,admit
81,3,313,106,admit
78.3,3,309,105,admit
81.2,3,314,98,admit
89.7,3,312,97,admit
74,3,308,104,admit
75,3.5,308,97,admit
80,3,307,93,admit
78,4,310,97,admit
74,3,307,96,admit
87,3,302,97,admit
71.3,3.5,315,106,admit
77,3,312,95,admit
83,3,306,82,reject
68,4,315,102,admit
68.9,2.5,314,105,reject
81.6,3,312,92,admit
82,3,303,93,admit
75,4,313,104,admit
86.7,4,323,119,admit
73,3.5,319,113,admit
79.2,3,315,97,admit
69,3,304,90,admit
75.2,3,304,90,admit
74.7,3,302,89,reject
78,2.5,312,94,reject
80.5,2.5,308,96,reject
89,3,317,103,admit
67,2.5,306,95,reject
81.8,2.5,304,88,reject
87.6,3.5,311,94,admit
76.8,4,316,100,admit
71,3,310,97,admit
90.4,2.5,317,105,reject
77,3,311,112,admit
87,3,312,99,admit
76,4,310,106,admit
74,3,320,102,admit
65.2,2.5,302,99,reject
72,2,293,91,reject
62.8,2,281,88,reject
69,2,291,100,reject
73.3,3,297,86,reject
72,2,297,87,reject
76,3.5,319,114,admit
71.1,3,298,104,reject
70,2.5,300,93,reject
73,3,302,88,reject
83.6,3.5,295,96,reject
73.4,3,300,92,admit
80,3,299,90,reject
67.5,3,291,91,reject
80.2,3,300,92,admit
72,3,299,85,reject
75.9,3,300,104,admit
78,3,304,101,admit
76,2,302,90,reject
63,4.5,301,101,reject
84,3,306,97,admit
61.4,3,300,106,reject
72,4,301,110,admit
63,2.5,298,96,reject
70,2.5,296,81,reject
77.7,3.5,299,87,reject
78,3,299,83,reject
78,4,302,100,admit
72,2.5,300,92,reject
77.3,2.5,296,91,reject
66.7,3.5,300,90,admit
74.5,2.5,297,80,reject
75,3,289,91,reject
72.3,3,194,91,reject
81,3.5,302,87,reject
91.2,3.5,310,96,admit
82.5,3.5,304,91,admit
74.2,3.5,310,98,admit
80,2.5,308,94,reject
82,3.5,308,104,admit
76.9,3.5,307,104,admit
81.2,3.5,307,104,admit
82.9,3,305,96,admit
